send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts
2026-04-14,2026-04-13,64-72105,VI,2026,"Jl. Transmigrasi Km. 2,50 Plajau",Kab. Tanah Bumbu,DODO,SBM Kalsel III Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,"86,15",82,100,"87,6",94,"46,28",Pasti Pas Good,
2026-04-14,2026-04-13,64-72114,VI,2026,"Jl. Raya Batulicin, Simpang Fery RT 06, Kalimantan Selatan",Kab Tanah Bumbu,DODO,SBM Kalsel III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,11","90,67",100,"87,75",94,"49,58",Pasti Pas Good,
2026-04-14,2026-04-14,64-731009,VI,2026,JL. DIPONEGORO KEL. LANGKAI KEC. PA,Kota Palangkaraya,DODO,SBM Kalteng I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,96","88,67",100,"93,8",100,"76,1",Pasti Pas Excellent,
2026-04-13,2026-04-11,64-73101,VI,2026,Jl. Tjilik Riwut,Kota Palangkaraya,DODO,SBM Kalteng I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,"87,13",82,100,"91,59",95,"47,16",Pasti Pas Good,
2026-04-13,2026-04-11,64-73107,VI,2026,"Jl.Rajawali KM 6,00",Kota Palangkaraya,DODO,SBM Kalteng I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,56","88,67",100,"93,3",100,"73,1",Pasti Pas Excellent,
2026-04-15,2026-04-15,64-73505,VI,2026,"JL TRANS KALIMANTAN DESA MALUEN, KEC. BASARANG KAB.KAPUAS",Kab Kapuas,DODO,SBM Kalteng I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,09","84,67",100,"91,83",86,"47,16",Pasti Pas Good,
2026-04-14,2026-04-13,64-73805,VI,2026,Jalan Trans Kalimantan Kalteng Kaltim Desa Malawaken Kec Teweh Tengah Kab Barito Utara,Kab. Barito Utara,DODO,SBM Kalteng III Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,"87,45","80,33",100,"92,86",95,"52,7",Pasti Pas Good,
2026-04-14,2026-04-13,64-73806,VI,2026,Jalan Rapen Ring Road Muara Teweh,Kab. Barito Utara,DODO,SBM Kalteng III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,06","85,67",100,"93,8",100,"76,1",Pasti Pas Excellent,
2026-04-08,2026-04-08,64-74107,VI,2026,"Jl. A.Yani Km. 65, Ds. Pangkalan Banteng",Kab KotawaringinBar,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,84","84,67","97,63","92,8",95,"51,01",Pasti Pas Good,
2026-04-13,2026-04-10,64-74108,VI,2026,"jalan poros parenggean - sangai km,7, parenggean",Kab KotawaringinTim,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,03",82,100,91,95,"47,16",Pasti Pas Good,
2026-04-08,2026-04-07,64-74109,VI,2026,Jalan A.Yani Km.6,Kab KotawaringinBar,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,78","84,67",100,"92,55",95,"63,8",Pasti Pas Good,
2026-04-08,2026-04-08,64-74201,VI,2026,Jln. Jend Sudirman Km.104 Desa Rungau Kec.Danau Sembuluh,Kab Seruyan,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,31","84,67",100,"91,93",88,"47,16",Pasti Pas Good,
2026-04-01,2026-04-01,64-743018,VI,2026,"Jl. Hasan Mansyur RT.042 RW.007 Kel.Baamang, Kec.Baamang",Kab KotawaringinTim,DODO,SBM Kalteng II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,01","85,67",100,"93,8",100,"75,6",Pasti Pas Excellent,
2026-04-10,2026-04-09,64-74305,VI,2026,Jl. Tjilik Riwut Km.74 Sampit,Kab KotawaringinTim,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,95","84,67",100,"92,65",93,"47,16",Pasti Pas Good,
2026-04-09,2026-04-09,64-74306,VI,2026,"Jl. Tjilik Riwut Km 18, Kotabesi, Sampit",Kab KotawaringinTim,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,99","84,67",100,"92,86",93,"47,16",Pasti Pas Good,
