send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-05-29,2025-05-27,24-37223,II,2025,Jl. Letjend Suprapto No.8 Muara Tebo,Kab Tebo,DODO,SBM Jambi II Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,86.13,86.40,91.38,98.50,95.50,40.04,Basic,Masa Berlaku APAR,"Produk JBU, Jalur Fast Track, Rompi Khusus, NFR, Masa Berlaku APAR"
2025-05-29,2025-05-27,51-83302,V,2025,Jl.A.Yani km13 Peninjauan Narmada Lombok Barat NTB,Kab Lombok Barat,COCO,SBM NTB I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.99,96.67,100.00,94.10,100.00,61.67,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-29,2025-05-27,53-69110,V,2025,DS MORKEPEK KEC LABANG,Kab Bangkalan,CODO I,SBM Surabaya IV Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.69,87.33,100.00,86.32,93.00,48.36,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-05-29,2025-05-27,44-59133,IV,2025,"Jl. Raya Jaken Km 1, Kel. Srikaton, Kec. Jaken",Kab Pati,DODO,SBM Semarang IV Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,90.17,89.33,100.00,90.16,100.00,53.40,Pasti Pas Good,,NFR
2025-05-29,2025-05-27,44-52323,IV,2025,"l. DI. PANDJAITAN, Kelurahan Bojongbata kec. Pemalang, Kab. Pemalang",Kab Pemalang,DODO,SBM Tegal II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,84.86,84.33,93.06,89.63,95.00,42.00,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-05-29,2025-05-27,44-51301,IV,2025,"Jl. Sujono, Sumber, Sukorejo",Kab Kendal,DODO,SBM Semarang II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.89,99.33,99.09,92.60,85.00,53.40,Pasti Pas Good,,NFR
2025-05-28,2025-05-27,34-45418,III,2025,Jl. Raya Cibolerang Jatiwangi,Kab Majalengka,DODO,SBM Cirebon II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.44,93.33,100.00,86.97,85.50,54.78,Pasti Pas Good,,"NFR, Rompi Khusus"
2025-05-29,2025-05-27,14-2031146,I,2025,Jl. Medan-L. Pakam,Kab Deli Serdang,DODO,SBM Medan II Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,91.28,92.67,96.52,94.85,97.50,59.60,Pasti Pas Good,,"NFR, Rompi Khusus"
2025-06-20,2025-05-27,44-50709,IV,2025,Jl. Solo Semarang KM 8 Klero Tengaran ,Kab Semarang,DODO,SBM Semarang I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,94.43,96.67,100.00,95.70,95.00,67.90,Pasti Pas Excellent,,
2025-05-29,2025-05-27,74-94127,VII,2025,Kihajar Dewantoro,Kota Palu,DODO,SBM Sulteng I Fuel,TAGE1,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,63.89,74.11,58.79,54.50,81.50,48.86,Basic,,"NFR, Produk JBU, Jalur Fast Track, Rompi Khusus"
